,Date,Compulsory_Mask,Eat_In_Ban,Entry_Recording,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation_0.0,Recreation_0.25,Recreation_0.5,Recreation_0.65,Recreation_1.0,Workplace_Closure_0.0,Workplace_Closure_0.33,Workplace_Closure_0.5,Workplace_Closure_0.75,Workplace_Closure_1.0,Worship_0.0,Worship_0.25,Worship_0.5,Worship_0.65,Worship_1.0
0,2020-01-23,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,2020-01-24,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2,2020-01-25,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,2020-01-26,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,2020-01-27,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5,2020-01-28,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,2020-01-29,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
7,2020-01-30,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,2020-01-31,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,2020-02-01,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
10,2020-02-02,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
11,2020-02-03,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
12,2020-02-04,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
13,2020-02-05,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,2020-02-06,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
15,2020-02-07,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
