,Date,Eat_In_Ban,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship
0,23/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
1,24/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
2,25/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
3,26/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
4,27/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
5,28/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
6,29/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
7,30/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
8,31/1/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
9,1/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
10,2/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
11,3/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
12,4/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
13,5/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
14,6/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
15,7/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
16,8/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
17,9/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
18,10/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
19,11/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
20,12/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
21,13/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
22,14/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
23,15/2/2020,0,0,0,7.01E-46,0.0359375,0,0,7.01E-46,0
