,Date,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship,Dine_in_Max
0,2020-01-23,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
1,2020-01-24,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
2,2020-01-25,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
3,2020-01-26,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
4,2020-01-27,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
5,2020-01-28,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
6,2020-01-29,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
7,2020-01-30,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
8,2020-01-31,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
9,2020-02-01,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
10,2020-02-02,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
11,2020-02-03,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
12,2020-02-04,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
13,2020-02-05,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
14,2020-02-06,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
15,2020-02-07,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
16,2020-02-08,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
17,2020-02-09,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
18,2020-02-10,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
19,2020-02-11,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
20,2020-02-12,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
21,2020-02-13,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
22,2020-02-14,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
23,2020-02-15,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
24,2020-02-16,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
25,2020-02-17,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
26,2020-02-18,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
27,2020-02-19,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
28,2020-02-20,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
29,2020-02-21,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
30,2020-02-22,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
31,2020-02-23,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
32,2020-02-24,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
33,2020-02-25,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
34,2020-02-26,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
35,2020-02-27,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
36,2020-02-28,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
37,2020-02-29,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
38,2020-03-01,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
39,2020-03-02,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
40,2020-03-03,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
41,2020-03-04,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
42,2020-03-05,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
43,2020-03-06,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
44,2020-03-07,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
45,2020-03-08,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
46,2020-03-09,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
47,2020-03-10,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
48,2020-03-11,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
49,2020-03-12,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
50,2020-03-13,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
51,2020-03-14,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
52,2020-03-15,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
53,2020-03-16,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
54,2020-03-17,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
55,2020-03-18,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
56,2020-03-19,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
57,2020-03-20,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
58,2020-03-21,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
59,2020-03-22,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
60,2020-03-23,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
61,2020-03-24,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
62,2020-03-25,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
63,2020-03-26,0,0,7.006492321624085e-46,0.0359375,0.0,0.0,7.006492321624085e-46,0.0,7.006492321624085e-46
64,2020-03-27,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
65,2020-03-28,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
66,2020-03-29,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
67,2020-03-30,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
68,2020-03-31,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
69,2020-04-01,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
70,2020-04-02,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
71,2020-04-03,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
72,2020-04-04,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
73,2020-04-05,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
74,2020-04-06,0,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46
75,2020-04-07,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,2020-04-08,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,2020-04-09,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,2020-04-10,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,2020-04-11,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,2020-04-12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,2020-04-13,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,2020-04-14,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,2020-04-15,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,2020-04-16,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,2020-04-17,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,2020-04-18,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,2020-04-19,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,2020-04-20,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,2020-04-21,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,2020-04-22,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,2020-04-23,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,2020-04-24,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,2020-04-25,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,2020-04-26,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,2020-04-27,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,2020-04-28,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,2020-04-29,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,2020-04-30,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,2020-05-01,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,2020-05-02,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,2020-05-03,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,2020-05-04,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
103,2020-05-05,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
104,2020-05-06,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
105,2020-05-07,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
106,2020-05-08,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
107,2020-05-09,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
108,2020-05-10,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
109,2020-05-11,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
110,2020-05-12,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
111,2020-05-13,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
112,2020-05-14,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
113,2020-05-15,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
114,2020-05-16,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
115,2020-05-17,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
116,2020-05-18,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
117,2020-05-19,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
118,2020-05-20,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
119,2020-05-21,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
120,2020-05-22,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
121,2020-05-23,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
122,2020-05-24,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
123,2020-05-25,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
124,2020-05-26,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
125,2020-05-27,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
126,2020-05-28,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
127,2020-05-29,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
128,2020-05-30,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
129,2020-05-31,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
130,2020-06-01,1,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0
131,2020-06-02,1,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
132,2020-06-03,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
133,2020-06-04,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
134,2020-06-05,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
135,2020-06-06,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
136,2020-06-07,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
137,2020-06-08,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
138,2020-06-09,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
139,2020-06-10,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
140,2020-06-11,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
141,2020-06-12,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
142,2020-06-13,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
143,2020-06-14,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
144,2020-06-15,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
145,2020-06-16,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
146,2020-06-17,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
147,2020-06-18,0,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0
148,2020-06-19,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
149,2020-06-20,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
150,2020-06-21,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
151,2020-06-22,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
152,2020-06-23,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
153,2020-06-24,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
154,2020-06-25,0,1,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125
155,2020-06-26,0,1,0.03125,0.3125,1.0,0.5,0.03125,0.75,0.03125
