Date,Pifzer 1st dose,Pifzer 2nd dose,P3,Moderna 1st dose,Moderna 2nd dose,M3,SUM,4860000,Rate,Effective Vax t,, 3rd dose ,Pre-existing immunity
4/1/2021,0,0,0,0,0,0,0,4860000,0,0,, -   ,540000
5/1/2021,0,0,0,0,0,0,0,4860000,0,0,, -   ,540000
6/1/2021,9.38,0,0,0,0,0,9.38,4859990.62,1.93E-06,1.93E-06,, -   ,540000
7/1/2021,9.067333333,0,0,0,0,0,9.067333333,4859990.933,1.87E-06,-6.43E-08,, -   ,540000
8/1/2021,8.754666667,0,0,0,0,0,8.754666667,4859991.245,1.80E-06,-6.43E-08,, -   ,540000
9/1/2021,8.442,0,0,0,0,0,8.442,4859991.558,1.74E-06,-6.43E-08,, -   ,540000
10/1/2021,8.129333333,0,0,0,0,0,8.129333333,4859991.871,1.67E-06,-6.43E-08,, -   ,540000
11/1/2021,636.2766667,0,0,0,0,0,636.2766667,4859363.723,0.000130921,0.000129248,, -   ,540000
12/1/2021,1140.295333,0,0,0,0,0,1140.295333,4858859.705,0.000234629,0.000103708,, -   ,540000
13/1/2021,1101.524667,0,0,0,0,0,1101.524667,4858898.475,0.000226651,-7.98E-06,, -   ,540000
14/1/2021,1062.754,0,0,0,0,0,1062.754,4858937.246,0.000218674,-7.98E-06,, -   ,540000
15/1/2021,1023.983333,0,0,0,0,0,1023.983333,4858976.017,0.000210696,-7.98E-06,, -   ,540000
16/1/2021,985.2126667,0,0,0,0,0,985.2126667,4859014.787,0.000202719,-7.98E-06,, -   ,540000
17/1/2021,946.442,0,0,0,0,0,946.442,4859053.558,0.000194741,-7.98E-06,, -   ,540000
18/1/2021,907.6713333,0,0,0,0,0,907.6713333,4859092.329,0.000186764,-7.98E-06,, -   ,540000
19/1/2021,868.9006667,0,0,0,0,0,868.9006667,4859131.099,0.000178786,-7.98E-06,, -   ,540000
20/1/2021,830.13,0,0,0,0,0,830.13,4859169.87,0.000170809,-7.98E-06,, -   ,540000
21/1/2021,791.3593333,0,0,0,0,0,791.3593333,4859208.641,0.000162831,-7.98E-06,, -   ,540000
22/1/2021,10845.46867,0,0,0,0,0,10845.46867,4849154.531,0.002231578,0.002068747,, -   ,540000
23/1/2021,10470.26867,0,0,0,0,0,10470.26867,4849529.731,0.002154376,-7.72E-05,, -   ,540000
24/1/2021,10095.06867,0,0,0,0,0,10095.06867,4849904.931,0.002077175,-7.72E-05,, -   ,540000
25/1/2021,9719.868667,0,0,0,0,0,9719.868667,4850280.131,0.001999973,-7.72E-05,, -   ,540000
26/1/2021,9344.668667,0,0,0,0,0,9344.668667,4850655.331,0.001922771,-7.72E-05,, -   ,540000
27/1/2021,18909.45467,13.18785714,0,0,0,0,18922.64252,4841077.357,0.003893548,0.001970777,, -   ,540000
28/1/2021,18203.14067,16.99571429,0,0,0,0,18220.13638,4841779.864,0.003748999,-0.000144549,, -   ,540000
29/1/2021,17496.82667,20.80357143,0,0,0,0,17517.63024,4842482.37,0.003604451,-0.000144549,, -   ,540000
30/1/2021,16790.51267,24.61142857,0,0,0,0,16815.1241,4843184.876,0.003459902,-0.000144549,, -   ,540000
31/1/2021,23963.39867,28.41928571,0,0,0,0,23991.81795,4836008.182,0.004936588,0.001476686,, -   ,540000
1/2/2021,22994.44467,32.22714286,0,0,0,0,23026.67181,4836973.328,0.004737998,-0.00019859,, -   ,540000
2/2/2021,25462.32267,1605.39,0,0,0,0,27067.71267,4832932.287,0.005569488,0.00083149,, -   ,540000
3/2/2021,24405.50933,2058.3,0,0,0,0,26463.80933,4833536.191,0.005445228,-0.00012426,, -   ,540000
4/2/2021,23348.696,2511.21,0,0,0,0,25859.906,4834140.094,0.005320968,-0.00012426,, -   ,540000
5/2/2021,22291.88267,2964.12,0,0,0,0,25256.00267,4834743.997,0.005196708,-0.00012426,, -   ,540000
6/2/2021,21235.06933,3417.03,0,0,0,0,24652.09933,4835347.901,0.005072448,-0.00012426,, -   ,540000
7/2/2021,20178.256,3869.94,0,0,0,0,24048.196,4835951.804,0.004948188,-0.00012426,, -   ,540000
8/2/2021,25185.42507,4322.85,0,0,0,0,29508.27507,4830491.725,0.006071662,0.001123473,, -   ,540000
9/2/2021,23926.47899,4295.85,0,0,0,0,28222.32899,4831777.671,0.005807064,-0.000264598,, -   ,540000
10/2/2021,30673.55051,4268.85,0,0,0,0,34942.40051,4825057.599,0.007189794,0.001382731,, -   ,540000
11/2/2021,29148.98784,4241.85,0,0,0,0,33390.83784,4826609.162,0.006870543,-0.000319252,, -   ,540000
12/2/2021,27624.42517,4214.85,0,0,0,0,31839.27517,4828160.725,0.006551291,-0.000319252,, -   ,540000
13/2/2021,26099.86251,4187.85,0,0,0,0,30287.71251,4829712.287,0.00623204,-0.000319252,, -   ,540000
14/2/2021,24575.29984,4160.85,0,0,0,0,28736.14984,4831263.85,0.005912788,-0.000319252,, -   ,540000
15/2/2021,23050.73717,4133.85,0,0,0,0,27184.58717,4832815.413,0.005593536,-0.000319252,, -   ,540000
16/2/2021,21526.17451,4106.85,0,0,0,0,25633.02451,4834366.975,0.005274285,-0.000319252,, -   ,540000
17/2/2021,20001.61184,4079.85,0,0,0,0,24081.46184,4835918.538,0.004955033,-0.000319252,, -   ,540000
18/2/2021,14868.87584,31483.59286,0,0,0,0,46352.4687,4813647.531,0.009537545,0.004582512,, -   ,540000
19/2/2021,13994.65984,39376.93571,0,0,0,0,53371.59555,4806628.404,0.01098181,0.001444265,, -   ,540000
20/2/2021,13120.44384,47270.27857,0,0,0,0,60390.72241,4799609.278,0.012426075,0.001444265,, -   ,540000
21/2/2021,12246.22784,55163.62143,0,0,0,0,67409.84927,4792590.151,0.013870339,0.001444265,, -   ,540000
22/2/2021,11389.52117,63056.96429,0,0,0,0,74446.48546,4785553.515,0.015318207,0.001447868,, -   ,540000
23/2/2021,10532.81451,70950.30714,0,0,0,0,81483.12165,4778516.878,0.016766074,0.001447868,, -   ,540000
24/2/2021,9676.10784,78843.65,0,0,0,0,88519.75784,4771480.242,0.018213942,0.001447868,, -   ,540000
25/2/2021,8819.401173,78348.65,0,0,0,0,87168.05117,4772831.949,0.017935813,-0.000278129,, -   ,540000
26/2/2021,7962.694507,77853.65,0,0,0,0,85816.34451,4774183.655,0.017657684,-0.000278129,, -   ,540000
27/2/2021,7105.98784,77358.65,0,0,0,0,84464.63784,4775535.362,0.017379555,-0.000278129,, -   ,540000
28/2/2021,6249.281173,76863.65,0,0,0,0,83112.93117,4776887.069,0.017101426,-0.000278129,, -   ,540000
1/3/2021,12658.66019,102038.5502,0,2980.2136,0,0,117677.424,4742322.576,0.024213462,0.007112036,, -   ,540000
2/3/2021,13600.56852,108955.4679,0,2961.541147,0,0,125517.5776,4734482.422,0.025826662,0.0016132,, -   ,540000
3/3/2021,12958.50127,115872.3857,0,2859.51176,0,0,131690.3987,4728309.601,0.02709679,0.001270128,, -   ,540000
4/3/2021,16153.42932,124813.9033,0,2979.600773,0,0,143946.9334,4716053.067,0.029618711,0.002521921,, -   ,540000
5/3/2021,15418.66265,132315.4033,0,2870.16744,0,0,150604.2334,4709395.767,0.030988525,0.001369815,, -   ,540000
6/3/2021,15574.99599,139816.9033,0,2807.634107,0,0,158199.5334,4701800.467,0.032551344,0.001562819,, -   ,540000
7/3/2021,19025.27265,147845.9176,0,2921.75744,0,0,169792.9477,4690207.052,0.034936821,0.002385476,, -   ,540000
