date,Partially Vaccinated with Pfizer,Fully Vaccinated with Pfizer,Partially Vaccinated with Moderna,Fully Vaccinated with Moderna
11/1/2021,3400,0,0,0
12/1/2021,6200,0,0,0
13/1/2021,6200,0,0,0
14/1/2021,6200,0,0,0
15/1/2021,6200,0,0,0
16/1/2021,6200,0,0,0
17/1/2021,6200,0,0,0
18/1/2021,6200,0,0,0
19/1/2021,6200,0,0,0
20/1/2021,6200,0,0,0
21/1/2021,6200,0,0,0
22/1/2021,60000,0,0,0
23/1/2021,60000,0,0,0
24/1/2021,60000,0,0,0
25/1/2021,60000,0,0,0
26/1/2021,60000,0,0,0
27/1/2021,112950,50,0,0
28/1/2021,112950,50,0,0
29/1/2021,112950,50,0,0
30/1/2021,112950,50,0,0
31/1/2021,154950,50,0,0
1/2/2021,154950,50,0,0
2/2/2021,169000,6000,0,0
3/2/2021,169000,6000,0,0
4/2/2021,169000,6000,0,0
5/2/2021,169000,6000,0,0
6/2/2021,169000,6000,0,0
7/2/2021,169000,6000,0,0
8/2/2021,207324,6000,0,0
9/2/2021,207324,6000,0,0
10/2/2021,244000,6000,0,0
11/2/2021,244000,6000,0,0
12/2/2021,244000,6000,0,0
13/2/2021,244000,6000,0,0
14/2/2021,244000,6000,0,0
15/2/2021,244000,6000,0,0
16/2/2021,244000,6000,0,0
17/2/2021,244000,6000,0,0
18/2/2021,140000,110000,0,0
19/2/2021,140000,110000,0,0
20/2/2021,140000,110000,0,0
21/2/2021,140000,110000,0,0
22/2/2021,140000,110000,0,0
23/2/2021,140000,110000,0,0
24/2/2021,140000,110000,0,0
25/2/2021,140000,110000,0,0
26/2/2021,140000,110000,0,0
27/2/2021,140000,110000,0,0
28/2/2021,140000,110000,0,0
1/3/2021,110391,207324,0,0
2/3/2021,110391,207324,0,0
3/3/2021,110391,207324,0,0
4/3/2021,105300,215000,29700,0
5/3/2021,105300,215000,29700,0
6/3/2021,105300,215000,29700,0
7/3/2021,124740,217000,37260,0
8/3/2021,133923,218694,40003,0
9/3/2021,133923,218694,40003,0
10/3/2021,133923,218694,40003,0
11/3/2021,133923,218694,40003,0
12/3/2021,133923,218694,40003,0
13/3/2021,133923,218694,40003,0
14/3/2021,133923,218694,40003,0
15/3/2021,235685,243169,70400,0
16/3/2021,235685,243169,70400,0
17/3/2021,235685,243169,70400,0
18/3/2021,235685,243169,70400,0
19/3/2021,235685,243169,70400,0
20/3/2021,235685,243169,70400,0
21/3/2021,235685,243169,70400,0
22/3/2021,357721,300611,112965,0
23/3/2021,371640,310000,117360,0
24/3/2021,371640,310000,117360,0
25/3/2021,371640,310000,117360,0
26/3/2021,371640,310000,117360,0
27/3/2021,371640,310000,117360,0
28/3/2021,371640,310000,117360,0
29/3/2021,431454,375605,136248,0
